Player,Nation,Pos,Squad,Comp,Age,Min,Gls,Ast,npxG,xAG,PrgC,PrgP,Tkl,Int,Blocks,Clr,SavePct,PSxGPlusMinus
Player A,ENG,FW,Sample FC,Premier League,22,1800,14,5,12.4,4.2,58,41,18,7,10,4,,
Player B,FRA,MF,Example United,Ligue 1,24,2100,6,10,5.2,8.9,44,92,55,33,28,19,,
Player C,ESP,DF,Demo Madrid,La Liga,21,1900,2,3,1.1,2.4,19,66,71,48,46,98,,
Player D,GER,FW,Test Dortmund,Bundesliga,25,1600,11,7,9.8,6.1,63,37,22,9,8,6,,
Player E,ITA,MF,Mock Milan,Serie A,20,1400,4,8,3.2,7.3,51,84,48,29,21,11,,
Player F,NED,DF,Sample FC,Premier League,26,2200,1,2,0.8,1.8,14,59,83,61,54,121,,
Player G,BRA,FW,Example United,Ligue 1,23,1750,9,9,8.4,7.1,70,55,24,11,13,8,,
Player H,POR,MF,Demo Madrid,La Liga,27,2300,5,6,4.6,5.8,38,101,63,46,31,24,,
Player I,CRO,GK,Test Dortmund,Bundesliga,28,2700,0,0,0.0,0.0,0,8,1,0,0,2,74.1,3.8
Player J,IRL,GK,Mock Milan,Serie A,24,2500,0,0,0.0,0.0,0,7,0,0,0,1,70.5,1.2
